No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,CS
1,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,46.3,115.7,144,8,30,33.83
2,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,51.4,128.6,144,8,30,36.19
3,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,56.6,141.4,144,8,30,31.11
4,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,61.7,154.3,144,8,30,25.71
5,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,54,135,168,8,30,36.69
6,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,60,150,168,8,30,38.16
7,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,66,165,168,8,30,26.17
8,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,72,180,168,8,30,25.11
9,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,57.9,144.6,180,8,30,33.81
10,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,64.3,160.7,180,8,30,38.96
11,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,70.7,176.8,180,8,30,25.71
12,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,77.1,192.9,180,8,30,20.76
13,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,46.3,115.7,144,8,30,42.32
14,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,51.4,128.6,144,8,30,47.92
15,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,56.6,141.4,144,8,30,46.87
16,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,61.7,154.3,144,8,30,43.38
17,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,54,135,168,8,30,46.08
18,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,60,150,168,8,30,51.22
19,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,66,165,168,8,30,44.67
20,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,72,180,168,8,30,46.57
21,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,57.9,144.6,180,8,30,45.88
22,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,64.3,160.7,180,8,30,50.69
23,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,70.7,176.8,180,8,30,41.85
24,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,77.1,192.9,180,8,30,45.68
25,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,46.3,115.7,144,8,30,55.37
26,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,51.4,128.6,144,8,30,59.79
27,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,56.6,141.4,144,8,30,51.61
28,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,61.7,154.3,144,8,30,46.68
29,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,54,135,168,8,30,56.86
30,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,60,150,168,8,30,60.38
31,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,66,165,168,8,30,46.48
32,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,72,180,168,8,30,47.57
33,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,57.9,144.6,180,8,30,48.91
34,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,64.3,160.7,180,8,30,58.53
35,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,70.7,176.8,180,8,30,48.45
36,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,77.1,192.9,180,8,30,47.64
37,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,46.3,115.7,144,8,60,41.53
38,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,51.4,128.6,144,8,60,42.56
39,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,56.6,141.4,144,8,60,33.94
40,252,60.11,26.53,4,108,34.06,20,32.6,774,1090.8,61.7,154.3,144,8,60,28.58
41,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,54,135,168,8,60,40.41
42,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,60,150,168,8,60,43.5
43,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,66,165,168,8,60,31.24
44,294,60.11,26.53,4,126,34.06,20,32.6,810.6,966,72,180,168,8,60,26.89
45,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,57.9,144.6,180,8,60,38.63
46,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,64.3,160.7,180,8,60,44.49
47,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,70.7,176.8,180,8,60,35.2
48,315,60.11,26.53,4,135,34.06,20,32.6,760.5,972,77.1,192.9,180,8,60,29.46
49,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,46.3,115.7,144,8,60,55.57
50,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,51.4,128.6,144,8,60,57.37
51,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,56.6,141.4,144,8,60,53.39
52,216,60.11,26.53,4,144,34.06,20,32.6,774,1090.8,61.7,154.3,144,8,60,51.22
53,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,54,135,168,8,60,58.8
54,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,60,150,168,8,60,62.29
55,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,66,165,168,8,60,58.93
56,252,60.11,26.53,4,168,34.06,20,32.6,810.6,966,72,180,168,8,60,56.64
57,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,57.9,144.6,180,8,60,56.56
58,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,64.3,160.7,180,8,60,61.3
59,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,70.7,176.8,180,8,60,54.38
60,270,60.11,26.53,4,180,34.06,20,32.6,760.5,972,77.1,192.9,180,8,60,49.83
61,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,46.3,115.7,144,8,60,61.96
62,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,51.4,128.6,144,8,60,65.26
63,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,56.6,141.4,144,8,60,53.39
64,180,60.11,26.53,4,180,34.06,20,32.6,774,1090.8,61.7,154.3,144,8,60,52.4
65,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,54,135,168,8,60,57.54
66,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,60,150,168,8,60,64.28
67,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,66,165,168,8,60,50.64
68,210,60.11,26.53,4,210,34.06,20,32.6,810.6,966,72,180,168,8,60,49.44
69,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,57.9,144.6,180,8,60,54.97
70,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,64.3,160.7,180,8,60,61.9
71,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,70.7,176.8,180,8,60,54.38
72,225,60.11,26.53,4,225,34.06,20,32.6,760.5,972,77.1,192.9,180,8,60,53.79
73,293,46,33,2.6,88,21,17,56.1,760,1005,143.3,71.7,0,6,20,37.4
74,293,46,33,2.6,88,21,17,56.1,760,1005,107.5,107.5,0,6,20,26.6
75,293,46,33,2.6,88,21,17,56.1,760,1005,143.3,71.7,0,4,20,29.9
